char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
下|xia4|under, underneath, below; down; inferior; bring down|||||1||3|1023.0|MY|一卜|10007.010|0076.100|412|1|1|45|below|46|below
丌|ji1|table|||||4||3|1022.0|ML|一中|10009.010|0076.130|596|1|||||
不|bu4|no, not; un-; negative prefix|||||1||4|1090.0|MF|一火|10011.060|0076.150|1025|1|1|924|no|993|no
与|yu3|and; with; to; for; give, grant||與|與||||3|2140.7|YSM|卜尸一|10005.030|0077.010|1608 1616|1|4|||1034|offer
丏|mian3|parapet; invisible|||||||4|1072.7|MLVS|一中女尸|10011.050|0077.020|898|1|||||
丐|gai4|beggar; beg; give|||匃||5||4|1020.7|MYVS|一卜女尸|10010.060|0077.030|644|1|6||||
丑|chou3|clown, comedian; 2nd terrestrial branch||醜|||5||4|1710.5|NG|弓土|10012.070|0077.040|90 1513|1|5|1489|clown|1486|clown
丒|chou3|the period from 1 to 3 a.m.; 2nd character of the 'branches'|||||||4||SKM|尸大一|10013.021|0077.061|90|1|||||
专|zhuan1|monopolize, take sole possession||專|||2||4|5030|QNI|手弓戈|10010.050|0077.061||1|4|||1238|specialty
且|qie3|moreover, also (post-subject); about to, will soon (pre-verb)|||||2||5|7710.0|BM|月一|10015.050|0077.070|97|1|3|1297|moreover|1345|moreover
丕|pi1|great, grand, glorious, distinguished||||仳|5||5|1010.9|MFM|一火一|10015.010|0077.100|1025 1035|1|||||
世|shi4|generation; world; era|||||2||5|4471.7|PT|心廿|10014.060|0077.110|1097 1115|1|3|27|generation|28|generation
丗|shi4|thirty, thirtieth|||||||5|4477.0|XTJ|難廿十|10014.050|0077.061||1|||||
丘|qiu1|hill; elder; empty; a name|||㐀坵||5||5|7210.1|OM|人一|10017.010|0077.140|1506|1|6|1003|hill|1079|hill
丙|bing3|third; 3rd heavenly stem|||||4||5|1022.7|MOB|一人月|10016.030|0078.020|1053|1|6|780|third|842|third
业|ye4|profession, business; GB radical 111||業|||2||5|3210|TC|廿金|10015.040|0078.021|1589|1|3|||1351|profession
丛|cong2|bush, shrub; thicket; collection||叢|||5||5|8810|OOM|人人一|10017.030|0078.021|295|1|6|||2104|thicket
东|dong1|east, eastern, eastward||東|東||2||5|4090|KD|大木|10017.050|0078.021|549 1403|1|1|||1249|east
丝|si1|silk; fine thread; wire; strings||絲|||4||5|2210|VVM|女女一|10017.080|0078.021||1|5|||1081|silk
丞|cheng2|assist, aid, rescue|||||5||6|1710.3|NEM|弓水一|10019.080|0078.050|1210|1|||||
丟|diu1|discard, reject, lose|丢||丢||4||6|1073.1|HGI|竹土戈|10385.050|0078.060||1||1870|mislay||
両|liang3|two, both, pair, couple; a tael, ounce|||兩两||||6|1022.7|MLBU|一中月山|10019.010|0078.101|799|1|||||
丢|diu1|discard||丟|丟||4||6|2073|HGI|竹土戈|10386.030|0078.101|519 1350|1|4|||1915|mislay
丣|you3|ancient form of the tenth of the twelve Terrestrial Branches, U+9149 酉|||||||7||MLLS|一中中尸|10021.060|0078.110|783 870|1|||||
两|liang3|two, both, pair, couple; ounce||兩|両兩||2||7|1022|MOOB|一人人月|10021.020|0078.131|799|1|2|||1478|dos
严|yan2|strict, rigorous, rigid; stern||嚴|||3||7|1020|MTCH|一廿金竹|10019.100|0078.131|651 1566|1|4|||1355|strict
並|bing4|equal to; side by side; also, what is more; both|并||幷并竝||2||8|8010.2|TTC|廿廿金|10246.020 10248.030|0078.140|1056|1||1302|side by side||
丧|sang4|mourning; mourn; funeral||喪|||5||8|4073|GCV|土金女|10022.010|0078.141|1234|24|6|||1427|funeral
丨|gun3|(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; KangXi radical 2|||||||1|2000|XL|難中|10028.020|0078.200|1499|2|||||
个|ge4|numerary adjunct, piece; single||個|個箇|個|1||3|8020.0|OL|人中|10103.010|0078.230|758 1489|2|1|||258|individual
丫|ya1|forked; bifurcation|||||5||3|8020.0 8020.7|CL|金中|10028.060|0079.010|1|2|||||
丬|qiang2|half of tree trunk; rad. no. 90|||||||3|3210|IML|戈一中|10028.061|0079.021|121|90|||||
中|zhong1|central; center, middle; in the midst of; hit (target); attain||||塚|1||4|5000.6|L|中|10028.100|0079.030|322 332|2|1|36|middle|38|middle
丮|ji3|catch|||||||4|1751.0|NQ|弓手|10051.070|0079.060||2|||||
丯|jie4|dense|||||||4||QJ|手十|10028.080|0079.070||2|||||
丰|feng1|abundant, lush, bountiful, plenty||豐|||5||4|5000.0|QJ|手十|10028.070|0079.080|404 407 539|2|4|||1225|plentiful
丱|guan4|child's hairstyle bound in two tufts; ore|||||||5|2277.0|VLLLM|女中中中一|10052.120|0079.100|706|2|||||
串|chuan4|string; relatives; conspire|||||4||7|5000.6|LL|中中|10030.020|0080.020|278|2|6|1504|string together|1506|string together
丳|chan3|spit, grill; a skewer|||||||8|5500.6|LLWW|中中田田|10030.040|0080.040||2|||||
临|lin2|draw near, approach; descend||臨|||4||9|2806|LLOA|中中人日|10030.050|0080.071|1021|2|5|||1012|be about to
丵|zhuo2|thick (grass)|||||||10||TCTJ|廿金廿十|10030.060|0080.080||2|||||
丶|zhu3|dot; KangXi radical 3|||||||1|3000.0|XI|難戈|10042.080|0080.120||3|||||
丷|ba1|kwukyel|||||||2||XC|難金|10042.091|0080.121||3|||||
丸|wan2|small round object; pellet, pill|||||4||3|5001.7|KNI|大弓戈|10042.110|0080.150|1627|3|6|41|pill|42|pill
丹|dan1|cinnabar (native HgS); vermilion (artificial HgS used as pigment)|||||4||4|7744.0|BY|月卜|10044.010|0080.160|1295 1570|3||1537|cinnabar red|1554|cinnabar red
为|wei4|do, handle, govern, act; be||為|||1||4|3402|IKSI|戈大尸戈|10044.020|0080.191|1431|3|2|||746|act
主|zhu3|master, chief owner; host; lord|||||2||5|0010.4|YG|卜土|10044.030|0080.200|263|3|3|259|lord|277|lord
丼|jing3|bowl of food; well||||井|||5|5500.0|TTI|廿廿戈|10045.010|0081.010||3|||||
丽|li4|beautiful, magnificent, elegant||麗|||3||7|1022|MMBB|一一月月|10021.030 10024.050|0081.040|772|3|4|||187|lovely
举|ju3|raise, lift up; recommend||舉|||3||9|9050|FCQ|火金手|10047.030|0081.041|672|3|4|||1434|lift up
丿|pie3|line; KangXi radical 4|||||||1|2000.0|XL|難中|10031.020|0081.060||4|||||
乀|fu2|stretch|||||||1||XMO|難一人|10042.090|0081.070||4|||||
乁|yi2||||||||1||XXMO|難難一人|10048.030|0081.090||4|||||
乂|yi4|govern, control, manage; nurture|||||||2|4000.0|K|大|10031.030|0081.100|954|4|||||
乃|nai3|then; really, indeed; as it turned out, after all; namely|||迺廼||4||2|1722.7|NHS|弓竹尸|10031.050|0081.120|938|4||582|only then|625|only then
乄|wu3|SHIME: to find a place to dwell; sum; a measurement of paper; SHITE to do; (not to be confused with U3024 HANGZHOU NUMERAL FIVE)|||||||2||XXKU|難難大山|10049.051|0081.181||4|||||
久|jiu3|long time (ago); time passage, grow late|||||2||3|2780.0|NO|弓人|10033.030|0081.190|586 587|4|3|778|long time|839|long time
乇|tuo1|to depend on, to entrust with|||||||3|2071.4|HP|竹心|10032.010|0082.020|1312|4|||||
么|me5|interrogative particle; repetition of a tune small; tender||幺麼麽|幺||4||3|2073.2|HI|竹戈|10033.020|0082.030|159 862 920 1595|4|1|||670|(suffix)
义|yi4|right conduct, righteousness||義|義||2||3|4000|IK|戈大|10042.100|0082.031|11 967 1554|4|5|||1182|righteousness
乊|yi1|kwukyel|||||||3||HC|竹金|10032.021|0082.031||4|||||
之|zhi1|marks preceding phrase as modifier of following phrase; it, him her, them; go to|||||1||3|3030.7|INO|戈弓人|10043.010|0082.040|127 135 213|4|4|921|of|990|of
乌|wu1|crow, rook, raven; black, dark||烏|||4||4|2712|PVSM|心女尸一|10034.100|0082.051|982|4|6|||2873|crow
乍|zha4|first time, for the first time|||||5||5|8021.1|HS|竹尸|10035.030|0082.060|10|4||865|for the first time|937|for the first time
乎|hu1|interrogative or exclamatory final particle|||||2||5|2040.9|HFD|竹火木|10036.080|0082.070|389|4|3|1106|ooh!|1165|ooh!
乏|fa2|lack; poor|||||4||4|2030.7|HINO|竹戈弓人|10034.030|0082.100|359|4|5|922|weary|991|weary
乐|le4|happy, glad; enjoyable; music||樂|||2||5|7290|HVD|竹女木|10037.050|0082.131|972|4|2|||662|music
乑|yin2|stand side by side|||||||6||OHHO|人竹竹人|10038.050|0082.150||4|||||
乒|ping1|used with pong for ping pong|||||||6|7220.1|OMH|人一竹|10038.030|0083.011|1052|4|4|2999|ping|2999|ping
乓|pang1|used with ping for ping pong|||||||6|7203.1|OMI|人一戈|10038.040|0083.011||4|4|3000|pong|3000|pong
乔|qiao2|tall, lofty; proud, stately||喬|喬||4||6|2022|HKLL|竹大中中|10038.010|0083.011||37||||441|pretend
乕|hu3|tiger; brave, fierce; surname|||||||7|7222.7|HQB|竹手月|10069.230|0083.021||4|||||
乖|guai1|rebel; crafty, shrewd|||||4||8|2011.1|HJLP|竹十中心|10038.180|0083.030|702|4|5|1677|well-behaved|1705|well-behaved
乗|cheng2|ride, ascend; avail oneself of; numerary adjunct for vehicles|||||||9|2090.4|HDT|竹木廿|10039.080|0083.081||4|||||
乘|cheng2|ride, ascend; avail oneself of; numerary adjunct for vehicles|||||4||10|2090.1|HDLP|竹木中心|10040.010|0083.090|1211|4|4|1678|hitch a ride|1706|hitch a ride
乙|yi3|second; 2nd heavenly stem|||||4||1|1771.0|NU|弓山|10047.040|0083.150|1535 1634|5|5|91|second|95|second
乚|yin3|hidden, mysterious, secret; to conceal; small; minute|||隱||||1||XU|難山|10048.041|0083.170|1634|5|||||
乛|ya5|kwukyel|||||||1||XN|難弓|10048.042|0083.171||5|||||
乜|mie1|to squint; (Cant.) what? huh?|||||||2|4771.2|PN|心弓|10049.090|0083.180|882|5|||||
九|jiu3|nine|||玖||3||2|4001.7|KN|大弓|10048.050|0083.190|587|5|1|9|nine|9|nine
乞|qi3|beg; request|||||5||3|8071.7|ON|人弓|10050.070|0084.030|440 460|5|6|434|beg|470|beg
也|ye3|also; classical final particle of strong affirmation or identity|||||1||3|4471.2|PD|心木|10050.050|0084.040|1368 1471|5|2|476|also|505|also
习|xi2|practice; flapping wings||習|||3||3|1712|SIM|尸戈一|10051.030|0084.051|39|15|1|||545|learn
乡|xiang1|country; rural; village||鄉|||4||3|2020|VVH|女女竹|10051.050|0084.051|463|52|5|||1387|countryside
乢|gai4|lid, to cover; to hide; a cover; an umbrella|||||||4|2271.0|XXXUA|難難難山日|10760.010|0084.071||5|||||
乣|jiu3||||||||4||VIU|女戈山|10052.060|0084.071||5|||||
乤|xia4|first character of Korean place name 'Halpho'|||||||4||MYN|一卜弓|10051.101|0084.071||5|||||
乥|hu4|kwukyel|||||||4||HCN|竹金弓|10051.161|0084.071||5|||||
书|shu1|book, letter, document; writings||書|||2||4|5302|IDS|戈木尸|10052.050|0084.071|1235|2|1|||1393|book
乧|dou3||||||||5||YJN|卜十弓|10053.011|0084.101||5|||||
乨|shi3|the beginning; to start, to begin, to be the first|||||||6||IRU|戈口山|10053.120|0084.110||5|||||
乩|ji1|to divine|||||5||6|2261.0|YRU|卜口山|10053.050|0084.120|177 594|5|||||
乪|nang2|(Cant.) a bend in a river|||||||6||NW|弓田|10053.070|0084.141||5|||||
乫|jia1|used in Korean place names|||||||6||KRN|大口弓|10053.111|0084.141||5|||||
乬|ju4|to hang|||||||6||SSN|尸尸弓|10052.091|0084.141||5|||||
乭|shi2|rock; used in Korean names|||||||6||MRN|一口弓|10053.041|0084.141||5|||||
乮|mao3||||||||6||HLN|竹中弓|10053.081|0084.141||5|||||
乯|hu1||||||||6||HFDN|竹火木弓|10053.082|0084.141||5|||||
买|mai3|buy, purchase; bribe, persuade||買|||2||6|1780|NYK|弓卜大|10053.100|0084.141|864|37|1|||858|buy
乱|luan4|confusion, state of chaos, revolt||亂|亂||3||7|2261.0|HRU|竹口山|10053.170|0084.150|834|5|4|||100|chaos
乲|zi1||||||||7||ION|戈人弓|10053.171|0084.161||5|||||
乳|ru3|breast, nipples; milk, suckle|||||5||8|2241.0|BDU|月木山|10055.040|0084.170|1634A|5|6|2362|breast|2430|breast
乴|xue2||||||||8||QLN|手中弓|10054.010|0084.180||5|||||
乵|yan3|to enter; to make progress to advance; to urge forward|||||||8||YJU|卜十山|10055.050|0084.190||5|||||
乶|fu3|Korean place name Pholha|||||||8||IBN|戈月弓|10054.021|0084.201||5|||||
乷|sha1||||||||8||EHN|水竹弓|10055.051|0084.201||5|||||
乸|na3|(Cant.) feminine suffix|||||||8||PDWYI|心木田卜戈|42382.040|0084.201||80|||||
乹|gan1|(Cant.) to clean; dried up|||||||9||XJJU|難十十山|10056.010|0084.210||5|||||
乺|suo3|painting tool place name|||||||9||XHLN|難竹中弓|10056.041|0084.241||5|||||
乻|yu2||||||||9||YYN|卜卜弓|10056.051|0084.241||5|||||
乼|cui5|rope|||||||9||EGN|水土弓|10056.052|0084.241||5|||||
乽|zhe3||||||||10||JAN|十日弓|10056.071|0084.241||5|||||
乾|gan1|dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)|干|||亁|4||11|4841.7|JJON|十十人弓|10056.100|0084.250|654|5||436|dry||
乿|zhi4|to cure, to heal|||||||11|2291.0|BFU|月火山|10057.040|0084.280||5|||||
亀|gui1|turtle or tortoise; cuckold|||||||11|2771.6|NWLU|弓田中山|80010.190|0084.321||213|||||
亁|gan1|dry; dried, as opposed to fresh||||乾|||12||JJON|十十人弓|10057.070|0084.321||5|||||
亂|luan4|confusion, state of chaos; create chaos, revolt|乱||乱||3||13|2221.0|BBU|月月山|10057.100|0084.330|834|5||1500|chaos||
亃|lin3|name of a kind of animal|||||||13|9221.0|FQU|火手山|10058.010|0085.010||5|||||
亄|yi4|greedy, stingy|||||||13|4211.0|GTU|土廿山|10057.080|0085.020||5|||||
亅|jue2|hook; KangXi radical 6|||||||1|2000.0|XN|難弓|10028.030|0085.090|666|6|||||
了|le5|to finish; particle of completed action|||||1||2|1720.7|NN|弓弓|10048.060|0085.110|817 818|6|1|95|(-ed)|101|(-ed)
亇|ma5|kwukyel hammer|||||||3||NN|弓弓|10032.022|0085.111||4|||||
予|yu3|I, me; to give|||余||4||4|1720.2|NINN|弓戈弓弓|10052.020|0085.160|1603|6|6|936|bestow|1007|bestow
争|zheng1|dispute, fight, contend, strive||爭|爭||3||6|2750.7|NSD|弓尸木|10324.120|0085.201|32|6|4|||951|contend
亊|shi4|affair, matter, business; to serve; accident, incident|||事||||7|5000.7|JFLN|十火中弓|10021.111|0085.221|1182|6|||||
事|shi4|affair, matter, business; to serve; accident, incident|||亊||2||8|5000.7|JLLN|十中中弓|10023.030|0085.240|1182|6|2|878|matter|953|matter
二|er4|two; twice|||弍貳|貳|2||2|1010.0|MM|一一|10002.010|0086.010|1552|7|1|2|two|2|two
亍|chu4|to take small steps; Korean place name|||||||3|1020.1|MMN|一一弓|10004.040|0086.050|308A|7|||||
于|yu2|in, on, at; go to; surname||於|扵於||4||3|1040.0|MD|一木|10004.050|0086.060|1602|7|3|1230|Yu|1283|Yu
亏|kui1|lose, fail; damage; deficient||虧|於扵||4||3|1002|XMMVS|難一一女尸|10005.010|0086.070|717 1602B|7|5|||2286|loss
亐|yu2||||||||3||XXMKS|難難一大尸|10005.020|0086.071|717 1602A|7|||||
云|yun2|say, speak; clouds||雲|||4||4|1073.1|MMI|一一戈|10384.020|0086.080|14 332 1298 1441|7|4|395|utter|428|cloud
互|hu4|mutually, reciprocally|||||4||4|1010.7|MVNM|一女弓一|10014.010|0086.090|1461|7|4|629|mutual|681|mutual
亓|qi2|(archaic form) his, her, its, their; that|||||||4|1022.1|MML|一一中|10010.030|0086.100||7|||||
五|wu3|five; surname|||㐅|伍|2||4|1010.7|MDM|一木一|10011.030|0086.110|949|7|1|5|five|5|five
井|jing3|well, mine shaft, pit||||丼|4||4|5500.0|TT|廿廿|10010.040|0086.140|103 589|7|6|1312|well|1360|well
亖|si4|four|||||||4||MMMM|一一一一|10010.020|0087.010||7|||||
亗|sui4|harvest; year; age|||岁歲ổ||||5||UMM|山一一|10760.050|0087.030|1103|7|||||
亘|gen4|extend across, through; from|||||||6|1010.6|MAM|一日一|10017.160|0087.040|579 1241C 1467|7|||||
亙|gen4|extend across, through; from|||||5||6|1010.6|MBM|一月一|10019.050|0087.070|579|7|||||
亚|ya4|Asia; second||亞|||3||6|1010|MTC|一廿金|10017.140|0087.081||1|4|||1353|Asia
些|xie1|little, few; rather, somewhat|||||2||8|2110.1|YPMM|卜心一一|21441.080|0087.100|156|7|1|427|somewhat|461|somewhat
亜|ya4|Asia; second|||||||7|1010.6|XMLLM|難一中中一|10021.010|0087.111|2|7|||||
亝|qi2|even, regular, uniform all alike; to arrange|||齊||||8||XIIIM|難戈戈戈一|10386.190|0087.120||7|||||
亞|ya4|Asia; second; used as a prefix to names|亚||||3||8|1010.7|MLLM|一中中一|10023.020|0087.130|2|7||1313|Asia||
亟|ji2|urgently, immediately, extremely|||||5||8|1010.4|MEM|一水一|10055.070|0087.140|611|7|||||
亠|tou2|head; KangXi radical 8|||||||2|0000.0|XY|難卜|10279.040|0088.020|847|8|||||
亡|wang2|death, destroyed; lose, perish|||兦亾||4||3|0071.0|YV|卜女|10279.050|0088.030|922|8|6|457|deceased|490|deceased
亢|kang4|high, proud; violent, excessive; skilled; name|||||5||4|0021.7|YHN|卜竹弓|10280.010|0088.040|660|8|||||
亣|da4||||||||4||YLL|卜中中|10279.070|0088.050||8|||||
交|jiao1|mix; intersect; exchange, communicate; deliver|||||1||6|0040.8|YCK|卜金大|10282.010|0088.060|553|8|4|969|mingle|1046|mingle
亥|hai4|12th terrestrial branch|||||5||6|0080.2|YVHO|卜女竹人|10283.050|0088.080|490|8||1136|sign of the hog|1196|sign of the hog
亦|yi4|also, too; likewise|||||3||6|0033.0|YLNC|卜中弓金|10281.030|0088.090|1556|8|6|1496|likewise|1491|likewise
产|chan3|give birth, bring forth, produce||產|||||6|0020|YTH|卜廿竹|10283.030|0088.111||117|5|||1314|products
亨|heng1|smoothly, progressing, no trouble|||||4||7|0020.7|YRNN|卜口弓弓|10284.030|0088.120|433|8||1607|go smoothly|1638|go smoothly
亩|mu3|Chinese land measure; fields||畝|||||7|0060|YW|卜田|10284.020|0088.161|1339|8||||324|Chinese acre
亪|ye5|kwukyel|||||||7||YCMO|卜金一人|10284.031|0088.161||8|||||
享|xiang3|enjoy|||||3||8|0040.7|YRND|卜口弓木|10284.080|0088.170|316 464 746|8|5|297|enjoy|326|enjoy
京|jing1|capital city|||||4||8|0090.6|YRF|卜口火|10284.060|0088.190|622|8|1|301|capital|330|capital
亭|ting2|pavilion; erect|||||5||9|0020.1|YRBN|卜口月弓|10286.020|0089.030|1340 1344|8|6|299|pavilion|328|pavilion
亮|liang4|bright, brilliant, radiant, light|||||3||9|0021.7|YRBU|卜口月山|10286.030|0089.040|622 800|8|1|300|shiny|329|shiny
亯|xiang3|to receive; to enjoy|||||||9||YRA|卜口日|10285.050|0089.050|316 464|8|||||
亰|jing1|capital city|||||||9|0090.6|YAF|卜日火|10285.040|0089.070||8|||||
亲|qin1|relatives, parents; intimate the hazel nut or filbert tree a thorny tree||親|榛||3||9|0090|YTD|卜廿木|42707.070|0089.081|64 1124|117|4|||1190|relatives
亳|bo2|name of district in Anhui; capital of Yin|||||||10|0071.4|YRBP|卜口月心|10287.090|0089.090|637|8|||||
亴|you4||||||||12||YRBN|卜口月弓|10290.040|0089.190||8|||||
亵|xie4|slight, insult, treat with disrespect||褻|||5||12|0073|YQIV|卜手戈女|10290.020|0089.191||8|||||
亶|dan3|sincere; real, true; truth|||||||13|0010.6|YWRM|卜田口一|10291.060|0089.200|1298|8|||||
亸|duo3|read aloud, recite, chant; droop||嚲|||||16||YDCWJ|卜木金田十|10293.091|0089.241|1294|30|||||
亹|men2|progress; busy, untiring; exert|||||||22|0010.7|YHBM|卜竹月一|10294.120|0090.010|881A|8|||||
人|ren2|man; people; mankind; someone else|||亻||1||2|8000.0|O|人|10101.100|0091.010|1489|9|1|736|person|793|person
亻|ren2|radical number 9|||人||||2|2020|XO|難人|10101.101|0091.011|1489|9|||||
亼|ji2|to assemble. to gather together|||集||||3||OM|人一|10102.020|0091.030|40|9|||||
亽|ji2|kwukyel|||||||3||XXOI|難難人戈|10103.021|0091.051||9|||||
亿|yi4|hundred million; many||億|||4||3|2721|ON|人弓|10103.040|0091.051||9|5|||2066|one hundred million
什|shen2|file of ten soldiers; mixed, miscellaneous|||||2||4|2420.0|OJ|人十|10108.020|0091.060|1132|9|1|743|what?|802|what?
仁|ren2|humaneness, benevolence, kindness|||||3||4|2121.0|OMM|人一一|10107.010|0091.070|1486 1489|9|6|761|benevolence|820|benevolence
仂|le4|surplus or excess; remainder|||||||4|2422.7|OKS|人大尸|10110.020|0091.100|801|9|||||
仃|ding1|lonely, solitary|||||||4|2122.0|OMN|人一弓|10108.010|0091.110|1340|9|||||
仄|ze4|slanting, oblique; oblique tones|||||5||4|7128.0|MO|一人|10103.070|0091.120|58|9|||||
仅|jin3|only, merely, solely, just||僅|||4||4||OE|人水|10110.040|0091.130|574|9|4|||811|merely
仆|pu1|fall forward; lie prostrate, prone; servant||僕|||5||4|2320.0|OY|人卜|10108.030|0091.140|1094 1095|9||||2059|servant
仇|chou2|enemy, hate, hatred, enmity|||讎讐|讎讐|4||4|2421.7|OKN|人大弓|10109.030|0091.150|587|9|6|1991|animosity|2055|animosity
仈|ba1||||||||4|2820.0|OC|人金|10109.010|0091.160||9|||||
仉|zhang3|surname of the mother of Mencius|||||||4|2721.0|OHN|人竹弓|10109.020|0091.170|113 596|9|||||
今|jin1|now, today, modern era|||||2||4|8020.7|OIN|人戈弓|10105.050|0091.180|565 569 852|9|1|1186|now|1246|now
介|jie4|forerunner, herald, harbinger; to lie between; sea shell; to wear armor|||||3||4|8022.0|OLL|人中中|10103.090|0091.190|541|9|2|241|introduce|259|introduce
仌|bing1||||||||4||XOO|難人人|10105.020|0092.010||9|||||
仍|reng2|yet, still, as ever; again; keep -ing, continuing|||||3||4|2722.7|ONHS|人弓竹尸|10110.030|0092.020|938|9|4|751|still|809|still
从|cong2|from, by, since, whence, through||從|從|從|2||4|8800.0|OO|人人|10105.030|0092.030|329|9|2|||846|follow
仏|fo2|Buddha|||||||4|2223.0|XOI|難人戈|10110.050|0092.050|358 1549|9|||||
仐|san3|(J) non-standard form of 傘 U+5098, umbrella, parasol, parachute|||||||4||XXOJ|難難人十|10103.061|0092.051||9|||||
仑|lun2|logical reasons, logical order||侖|||5||4|8071|XXOP|難難人心|10105.040|0092.051|851|9|||||
仒|bing1|kwukyel|||||||4||XOY|難人卜|10105.041|0092.051||9|||||
仓|cang1|granary; berth; sea||倉|||5||4|8071|OSU|人尸山|10105.060|0092.051|254|9|6|||1121|storehouse
仔|zi3|small thing, child; young animal|||||3||5|2724.7|OND|人弓木|10115.050|0092.060|134|9|4|2001|meticulous|2067|meticulous
仕|shi4|official; serve government|||||5||5|2421.0|OG|人土|10112.030|0092.070|1181|9|||||
他|ta1|other, another; he, she, it|||她牠||1||5|2421.2|OPD|人心木|10115.060|0092.090|1283 1471|9|1|752|he|810|he
仗|zhang4|rely upon; protector; fight; war, weaponry|||||5||5|2520.0|OJK|人十大|10113.020|0092.100|116|9|6|2041|battle|2103|battle
付|fu4|give, deliver, pay, hand over; entrust|||||3||5|2420.0|ODI|人木戈|10112.050|0092.120|392|9|4|766|pay|825|pay
仙|xian1|Taoist super-being, transcendent, immortal|||僊|僊|4||5|2227.0|OU|人山|10114.030|0092.130|1103|9|6|2027|immortal|2092|immortal
仚|xian1|to fly|||||||5|8077.0|OU|人山|10111.070|0092.140||9|||||
仛|tuo1|young girl; strange, different|||||||5||OHP|人竹心|10114.060|0093.010||9|||||
仜|hong2||||||||5|2121.0|OM|人一|10112.040|0093.020||9|||||
仝|tong2|together, same; surname|||同||5||5|8010.1|OM|人一|10111.020|0093.030|684 1407|9|||||
仞|ren4|ancient unit of measure (8 feet); 'fathom'|||||||5|2722.0|OSHI|人尸竹戈|10115.070|0093.040|1492|9|||||
仟|qian1|one thousand; leader of one thousand men|||千阡|千|5||5|2224.0|OHJ|人竹十|10114.040|0093.050|192|9|||||
仠|gan3||||||||5||OMJ|人一十|10112.020|0093.060||9|||||
仡|ge1|strong; valiant|||||||5|2821.7|OON|人人弓|10114.050|0093.070|440|9|||||
仢|bo2||||||||5||OPI|人心戈|10114.120|0093.100|106|9|||||
